Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game,date,venue,teams.home.name,scores.home.total,teams.away.name,scores.away.total
Payton PritchardP. Pritchard#11,22,5-14,1-6,0-0,0,3,3,3,0,0,2,2,-6,11,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Svi MykhailiukS. Mykhailiuk#50,10,1-7,1-5,0-0,0,1,1,0,0,0,0,0,-9,3,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jaden SpringerJ. Springer#44,8,0-1,0-0,0-0,0,2,2,0,0,0,0,0,1,0,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Jordan WalshJ. Walsh#27,5,0-2,0-1,0-0,0,1,1,0,0,0,0,0,7,0,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Kristaps PorzingisK. Porzingis#8,0,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
Team celtics Total,0,29-80,14-41,12-13,4,27,31,18,2,5,13,19,0,84,Boston Celtics,Bench,Game 4,2024-06-15T00:30:00+00:00,American Airlines Center,Dallas Mavericks,122,Boston Celtics,84
P.J. WashingtonP.J. Washington#25,34,2-7,0-5,0-0,0,6,6,3,0,2,4,3,-26,4,Dallas Mavericks,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Derrick Jones Jr.D. Jones Jr.#55,22,4-8,1-4,1-2,0,0,0,0,0,1,0,0,-8,10,Dallas Mavericks,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Daniel GaffordD. Gafford#21,11,3-5,0-0,0-0,2,1,3,0,0,0,0,1,-7,6,Dallas Mavericks,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Kyrie IrvingK. Irving#11,41,5-16,3-9,2-2,1,2,3,9,1,0,1,2,-11,15,Dallas Mavericks,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Luka DoncicL. Doncic#77,43,12-25,2-9,2-5,0,12,12,5,3,0,7,3,-19,28,Dallas Mavericks,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Maxi KleberM. Kleber#42,13,1-3,0-2,0-0,1,2,3,1,0,0,0,2,-12,2,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Olivier-Maxence ProsperO. Prosper#18,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,3,0,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Tim Hardaway Jr.T. Hardaway Jr.#10,9,0-1,0-1,0-0,0,0,0,0,0,0,0,3,1,0,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Dwight PowellD. Powell#7,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,3,0,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Dereck Lively IID. Lively II#2,24,1-2,0-0,0-0,2,2,4,0,0,1,1,5,-6,2,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Josh GreenJ. Green#8,22,5-8,4-6,0-0,1,1,2,0,0,0,0,1,-8,14,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Dante ExumD. Exum#0,9,1-1,1-1,1-2,0,0,0,0,0,0,0,0,-6,4,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
A.J. LawsonA.J. Lawson#9,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,3,0,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jaden HardyJ. Hardy#1,3,1-2,0-0,1-2,0,0,0,0,0,0,0,0,3,3,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Team Maverick Total,0,35-78,11-37,7-13,7,28,35,18,4,4,13,20,0,88,Dallas Mavericks,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jayson TatumJ. Tatum#0,45,11-24,1-7,8-8,1,7,8,11,2,0,2,2,18,31,Boston Celtics,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Al HorfordA. Horford#42,32,3-6,2-3,1-2,2,7,9,2,2,0,0,3,20,9,Boston Celtics,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jrue HolidayJ. Holiday#4,43,7-14,1-3,0-0,4,7,11,4,0,1,2,3,21,15,Boston Celtics,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Derrick WhiteD. White#9,38,4-10,4-8,2-2,4,4,8,1,2,1,2,0,1,14,Boston Celtics,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jaylen BrownJ. Brown#7,44,7-23,2-9,5-6,0,8,8,6,2,0,1,4,20,21,Boston Celtics,Starters,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Sam HauserS. Hauser#30,17,3-7,2-6,0-0,3,1,4,1,1,0,0,1,3,8,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Oshae BrissettO. Brissett#12,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Luke KornetL. Kornet#40,2,0-0,0-0,0-0,1,0,1,0,0,0,0,0,-2,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Kristaps PorzingisK. Porzingis#8,16,2-4,0-2,1-2,0,1,1,0,0,0,0,2,8,5,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Payton PritchardP. Pritchard#11,1,1-1,1-1,0-0,0,0,0,0,0,0,0,0,1,3,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Svi MykhailiukS. Mykhailiuk#50,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Xavier TillmanX. Tillman#26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
Team celtics Total,0,38-89,13-39,17-20,15,36,51,25,9,2,7,15,0,106,Boston Celtics,Bench,Game 5,2024-06-18T00:30:00+00:00,TD Garden,Boston Celtics,106,Dallas Mavericks,88
